student_id,year_code,major_code,class_number,class_code,major,generation_year,degree,shift,branch
60223026,2,EC,01,2EC01,Ekonomi Syariah,2023,NA,NA,NA
10123014,2,KA,10,2KA10,Sistem Informasi,2023,NA,NA,NA
10223027,2,EA,04,2EA04,Manajemen,2023,NA,NA,NA
10623004,2,SA,05,2SA05,Sastra Inggris,2023,NA,NA,NA
10223028,2,EA,28,2EA28,Manajemen,2023,NA,NA,NA
10223029,2,EA,22,2EA22,Manajemen,2023,NA,NA,NA
10823003,2,MA,04,2MA04,Ilmu Komunikasi,2023,NA,NA,NA
50423017,2,IA,17,2IA17,Informatika,2023,NA,NA,NA
50423018,2,IA,01,2IA01,Informatika,2023,NA,NA,NA
10523002,2,PA,28,2PA28,Psikologi,2023,NA,NA,NA
10223030,2,EA,29,2EA29,Manajemen,2023,NA,NA,NA
20323005,2,TB,03,2TB03,Teknik Arsitektur,2023,NA,NA,NA
10223031,2,EA,13,2EA13,Manajemen,2023,NA,NA,NA
10223032,2,EA,11,2EA11,Manajemen,2023,NA,NA,NA
10523003,2,PA,16,2PA16,Psikologi,2023,NA,NA,NA
50423019,2,IA,14,2IA14,Informatika,2023,NA,NA,NA
10823004,2,MA,22,2MA22,Ilmu Komunikasi,2023,NA,NA,NA
10123015,2,KA,31,2KA31,Sistem Informasi,2023,NA,NA,NA
50423020,2,IA,03,2IA03,Informatika,2023,NA,NA,NA
10123016,2,KA,11,2KA11,Sistem Informasi,2023,NA,NA,NA
10223033,2,EA,15,2EA15,Manajemen,2023,NA,NA,NA
50423021,2,IA,23,2IA23,Informatika,2023,NA,NA,NA
30423022,2,ID,03,2ID03,Teknik Industri,2023,NA,NA,NA
50423023,2,IA,07,2IA07,Informatika,2023,NA,NA,NA
20223034,2,EB,04,2EB04,Akuntansi,2023,NA,NA,NA
10523004,2,PA,31,2PA31,Psikologi,2023,NA,NA,NA
10123017,2,KA,28,2KA28,Sistem Informasi,2023,NA,NA,NA
20723015,2,HB,01,2HB01,Farmasi,2023,NA,NA,NA
10123018,2,KA,12,2KA12,Sistem Informasi,2023,NA,NA,NA
10823005,2,MA,18,2MA18,Ilmu Komunikasi,2023,NA,NA,NA
10123019,2,KA,15,2KA15,Sistem Informasi,2023,NA,NA,NA
10523005,2,PA,01,2PA01,Psikologi,2023,NA,NA,NA
10823006,2,MA,24,2MA24,Ilmu Komunikasi,2023,NA,NA,NA
10523006,2,PA,29,2PA29,Psikologi,2023,NA,NA,NA
50423024,2,IA,22,2IA22,Informatika,2023,NA,NA,NA
20223035,2,EB,05,2EB05,Akuntansi,2023,NA,NA,NA
10123020,2,KA,28,2KA28,Sistem Informasi,2023,NA,NA,NA
10223036,2,EA,35,2EA35,Manajemen,2023,NA,NA,NA
10323006,2,TA,01,2TA01,Teknik Sipil,2023,NA,NA,NA
10223037,2,EA,04,2EA04,Manajemen,2023,NA,NA,NA
20223038,2,EB,08,2EB08,Akuntansi,2023,NA,NA,NA
10223039,2,EA,13,2EA13,Manajemen,2023,NA,NA,NA
10123021,2,KA,01,2KA01,Sistem Informasi,2023,NA,NA,NA
10623005,2,SA,05,2SA05,Sastra Inggris,2023,NA,NA,NA
10223040,2,EA,25,2EA25,Manajemen,2023,NA,NA,NA
10423025,2,IB,01,2IB01,Teknik Elektro,2023,NA,NA,NA
10123022,2,KA,04,2KA04,Sistem Informasi,2023,NA,NA,NA
10223041,2,EA,11,2EA11,Manajemen,2023,NA,NA,NA
10123023,2,KA,14,2KA14,Sistem Informasi,2023,NA,NA,NA
50423026,2,IA,14,2IA14,Informatika,2023,NA,NA,NA
50423027,2,IA,04,2IA04,Informatika,2023,NA,NA,NA
10123024,2,KA,13,2KA13,Sistem Informasi,2023,NA,NA,NA
40723016,2,HC,02,2HC02,Kebidanan,2023,NA,NA,NA
10523007,2,PA,05,2PA05,Psikologi,2023,NA,NA,NA
10823007,2,MA,16,2MA16,Ilmu Komunikasi,2023,NA,NA,NA
50423028,2,IA,12,2IA12,Informatika,2023,NA,NA,NA
20423029,2,IC,03,2IC03,Teknik Mesin,2023,NA,NA,NA
30423030,2,ID,09,2ID09,Teknik Industri,2023,NA,NA,NA
10123025,2,KA,31,2KA31,Sistem Informasi,2023,NA,NA,NA
20123026,2,KB,03,2KB03,Sistem Komputer,2023,NA,NA,NA
30423031,2,ID,06,2ID06,Teknik Industri,2023,NA,NA,NA
20223042,2,EB,09,2EB09,Akuntansi,2023,NA,NA,NA
10223043,2,EA,02,2EA02,Manajemen,2023,NA,NA,NA
10223044,2,EA,30,2EA30,Manajemen,2023,NA,NA,NA
10223045,2,EA,29,2EA29,Manajemen,2023,NA,NA,NA
11423514,2,IB,02,2IB02,Teknik Elektro,2023,NA,NA,NA
10223046,2,EA,33,2EA33,Manajemen,2023,NA,NA,NA
21823057,2,MB,01,2MB01,Ilmu Komunikasi,2023,NA,NA,NA
10123027,2,KA,13,2KA13,Sistem Informasi,2023,NA,NA,NA
10123028,2,KA,20,2KA20,Sistem Informasi,2023,NA,NA,NA
10823008,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
10223047,2,EA,06,2EA06,Manajemen,2023,NA,NA,NA
10223048,2,EA,17,2EA17,Manajemen,2023,NA,NA,NA
10823009,2,MA,03,2MA03,Ilmu Komunikasi,2023,NA,NA,NA
10123029,2,KA,30,2KA30,Sistem Informasi,2023,NA,NA,NA
50423032,2,IA,02,2IA02,Informatika,2023,NA,NA,NA
10123030,2,KA,30,2KA30,Sistem Informasi,2023,NA,NA,NA
50423033,2,IA,10,2IA10,Informatika,2023,NA,NA,NA
50423034,2,IA,15,2IA15,Informatika,2023,NA,NA,NA
10523008,2,PA,15,2PA15,Psikologi,2023,NA,NA,NA
10223049,2,EA,07,2EA07,Manajemen,2023,NA,NA,NA
30423035,2,ID,02,2ID02,Teknik Industri,2023,NA,NA,NA
10823010,2,MA,24,2MA24,Ilmu Komunikasi,2023,NA,NA,NA
40323007,2,TD,01,2TD01,Teknik Sipil,2023,NA,NA,NA
50423036,2,IA,19,2IA19,Informatika,2023,NA,NA,NA
10123031,2,KA,03,2KA03,Sistem Informasi,2023,NA,NA,NA
10523009,2,PA,23,2PA23,Psikologi,2023,NA,NA,NA
10123032,2,KA,15,2KA15,Sistem Informasi,2023,NA,NA,NA
10223050,2,EA,13,2EA13,Manajemen,2023,NA,NA,NA
10823011,2,MA,21,2MA21,Ilmu Komunikasi,2023,NA,NA,NA
50423037,2,IA,08,2IA08,Informatika,2023,NA,NA,NA
60423038,2,IF,01,2IF01,Informatika,2023,NA,NA,NA
10523010,2,PA,13,2PA13,Psikologi,2023,NA,NA,NA
20223051,2,EB,02,2EB02,Akuntansi,2023,NA,NA,NA
10123033,2,KA,33,2KA33,Sistem Informasi,2023,NA,NA,NA
10823012,2,MA,NA,2MA,Ilmu Komunikasi,2023,NA,NA,NA
20523011,2,PB,01,2PB01,Psikologi,2023,NA,NA,NA
30423039,2,ID,09,2ID09,Teknik Industri,2023,NA,NA,NA
10523012,2,PA,19,2PA19,Psikologi,2023,NA,NA,NA
10523013,2,PA,07,2PA07,Psikologi,2023,NA,NA,NA
10523014,2,PA,12,2PA12,Psikologi,2023,NA,NA,NA
10623006,2,SA,05,2SA05,Sastra Inggris,2023,NA,NA,NA
20223052,2,EB,06,2EB06,Akuntansi,2023,NA,NA,NA
10523015,2,PA,31,2PA31,Psikologi,2023,NA,NA,NA
10223053,2,EA,02,2EA02,Manajemen,2023,NA,NA,NA
10523016,2,PA,23,2PA23,Psikologi,2023,NA,NA,NA
20223054,2,EB,04,2EB04,Akuntansi,2023,NA,NA,NA
10523017,2,PA,27,2PA27,Psikologi,2023,NA,NA,NA
50423040,2,IA,02,2IA02,Informatika,2023,NA,NA,NA
10223055,2,EA,19,2EA19,Manajemen,2023,NA,NA,NA
10823013,2,MA,11,2MA11,Ilmu Komunikasi,2023,NA,NA,NA
10523018,2,PA,29,2PA29,Psikologi,2023,NA,NA,NA
10523019,2,PA,NA,2PA,Psikologi,2023,NA,NA,NA
20223056,2,EB,11,2EB11,Akuntansi,2023,NA,NA,NA
10823014,2,MA,23,2MA23,Ilmu Komunikasi,2023,NA,NA,NA
10123034,2,KA,30,2KA30,Sistem Informasi,2023,NA,NA,NA
20223057,2,EB,11,2EB11,Akuntansi,2023,NA,NA,NA
50423041,2,IA,12,2IA12,Informatika,2023,NA,NA,NA
10823015,2,MA,21,2MA21,Ilmu Komunikasi,2023,NA,NA,NA
10223058,2,EA,NA,2EA,Manajemen,2023,NA,NA,NA
10223059,2,EA,10,2EA10,Manajemen,2023,NA,NA,NA
10523020,2,PA,36,2PA36,Psikologi,2023,NA,NA,NA
10223060,2,EA,29,2EA29,Manajemen,2023,NA,NA,NA
20123035,2,KB,01,2KB01,Sistem Komputer,2023,NA,NA,NA
10823016,2,MA,11,2MA11,Ilmu Komunikasi,2023,NA,NA,NA
50423042,2,IA,03,2IA03,Informatika,2023,NA,NA,NA
10823017,2,MA,19,2MA19,Ilmu Komunikasi,2023,NA,NA,NA
50423043,2,IA,18,2IA18,Informatika,2023,NA,NA,NA
10123036,2,KA,09,2KA09,Sistem Informasi,2023,NA,NA,NA
20423044,2,IC,04,2IC04,Teknik Mesin,2023,NA,NA,NA
50423045,2,IA,01,2IA01,Informatika,2023,NA,NA,NA
10323008,2,TA,01,2TA01,Teknik Sipil,2023,NA,NA,NA
10223061,2,EA,03,2EA03,Manajemen,2023,NA,NA,NA
10323009,2,TA,03,2TA03,Teknik Sipil,2023,NA,NA,NA
50423046,2,IA,04,2IA04,Informatika,2023,NA,NA,NA
10623007,2,SA,03,2SA03,Sastra Inggris,2023,NA,NA,NA
10123037,2,KA,25,2KA25,Sistem Informasi,2023,NA,NA,NA
10523021,2,PA,27,2PA27,Psikologi,2023,NA,NA,NA
50423047,2,IA,14,2IA14,Informatika,2023,NA,NA,NA
10223062,2,EA,03,2EA03,Manajemen,2023,NA,NA,NA
10223063,2,EA,01,2EA01,Manajemen,2023,NA,NA,NA
10123038,2,KA,19,2KA19,Sistem Informasi,2023,NA,NA,NA
10123039,2,KA,15,2KA15,Sistem Informasi,2023,NA,NA,NA
50423048,2,IA,24,2IA24,Informatika,2023,NA,NA,NA
10823018,2,MA,01,2MA01,Ilmu Komunikasi,2023,NA,NA,NA
10523022,2,PA,25,2PA25,Psikologi,2023,NA,NA,NA
10823019,2,MA,26,2MA26,Ilmu Komunikasi,2023,NA,NA,NA
10223064,2,EA,02,2EA02,Manajemen,2023,NA,NA,NA
50423049,2,IA,26,2IA26,Informatika,2023,NA,NA,NA
10623008,2,SA,03,2SA03,Sastra Inggris,2023,NA,NA,NA
10523023,2,PA,34,2PA34,Psikologi,2023,NA,NA,NA
10823020,2,MA,16,2MA16,Ilmu Komunikasi,2023,NA,NA,NA
10823021,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
10223065,2,EA,21,2EA21,Manajemen,2023,NA,NA,NA
10123040,2,KA,32,2KA32,Sistem Informasi,2023,NA,NA,NA
10623009,2,SA,05,2SA05,Sastra Inggris,2023,NA,NA,NA
10823022,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
20223066,2,EB,07,2EB07,Akuntansi,2023,NA,NA,NA
20223067,2,EB,09,2EB09,Akuntansi,2023,NA,NA,NA
10523024,2,PA,24,2PA24,Psikologi,2023,NA,NA,NA
10223068,2,EA,03,2EA03,Manajemen,2023,NA,NA,NA
10223069,2,EA,06,2EA06,Manajemen,2023,NA,NA,NA
20223070,2,EB,14,2EB14,Akuntansi,2023,NA,NA,NA
20723017,2,HB,01,2HB01,Farmasi,2023,NA,NA,NA
20223071,2,EB,14,2EB14,Akuntansi,2023,NA,NA,NA
20123041,2,KB,04,2KB04,Sistem Komputer,2023,NA,NA,NA
10423050,2,IB,01,2IB01,Teknik Elektro,2023,NA,NA,NA
20123042,2,KB,02,2KB02,Sistem Komputer,2023,NA,NA,NA
30123043,2,DB,01,2DB01,Manajemen Informatika,2023,NA,NA,NA
10223072,2,EA,14,2EA14,Manajemen,2023,NA,NA,NA
30423051,2,ID,06,2ID06,Teknik Industri,2023,NA,NA,NA
20123044,2,KB,04,2KB04,Sistem Komputer,2023,NA,NA,NA
10123045,2,KA,26,2KA26,Sistem Informasi,2023,NA,NA,NA
10123046,2,KA,03,2KA03,Sistem Informasi,2023,NA,NA,NA
10223073,2,EA,08,2EA08,Manajemen,2023,NA,NA,NA
50423052,2,IA,05,2IA05,Informatika,2023,NA,NA,NA
30423053,2,ID,10,2ID10,Teknik Industri,2023,NA,NA,NA
10223074,2,EA,27,2EA27,Manajemen,2023,NA,NA,NA
10123047,2,KA,10,2KA10,Sistem Informasi,2023,NA,NA,NA
10823023,2,MA,26,2MA26,Ilmu Komunikasi,2023,NA,NA,NA
10223075,2,EA,30,2EA30,Manajemen,2023,NA,NA,NA
30423054,2,ID,10,2ID10,Teknik Industri,2023,NA,NA,NA
10823024,2,MA,17,2MA17,Ilmu Komunikasi,2023,NA,NA,NA
10523025,2,PA,04,2PA04,Psikologi,2023,NA,NA,NA
50423055,2,IA,24,2IA24,Informatika,2023,NA,NA,NA
10523026,2,PA,13,2PA13,Psikologi,2023,NA,NA,NA
10323010,2,TA,01,2TA01,Teknik Sipil,2023,NA,NA,NA
10223076,2,EA,10,2EA10,Manajemen,2023,NA,NA,NA
10123048,2,KA,28,2KA28,Sistem Informasi,2023,NA,NA,NA
20223077,2,EB,15,2EB15,Akuntansi,2023,NA,NA,NA
50423056,2,IA,20,2IA20,Informatika,2023,NA,NA,NA
30223078,2,DD,01,2DD01,Manajemen Pemasaran,2023,NA,NA,NA
10323011,2,TA,02,2TA02,Teknik Sipil,2023,NA,NA,NA
11823048,2,MA,18,2MA18,Ilmu Komunikasi,2023,NA,NA,NA
50423057,2,IA,04,2IA04,Informatika,2023,NA,NA,NA
10623010,2,SA,04,2SA04,Sastra Inggris,2023,NA,NA,NA
10423058,2,IB,01,2IB01,Teknik Elektro,2023,NA,NA,NA
50423059,2,IA,19,2IA19,Informatika,2023,NA,NA,NA
10323012,2,TA,01,2TA01,Teknik Sipil,2023,NA,NA,NA
10523027,2,PA,09,2PA09,Psikologi,2023,NA,NA,NA
10623011,2,SA,06,2SA06,Sastra Inggris,2023,NA,NA,NA
10823025,2,MA,25,2MA25,Ilmu Komunikasi,2023,NA,NA,NA
10523028,2,PA,28,2PA28,Psikologi,2023,NA,NA,NA
20223079,2,EB,12,2EB12,Akuntansi,2023,NA,NA,NA
50423060,2,IA,25,2IA25,Informatika,2023,NA,NA,NA
10823026,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
10123049,2,KA,22,2KA22,Sistem Informasi,2023,NA,NA,NA
10223080,2,EA,15,2EA15,Manajemen,2023,NA,NA,NA
20223081,2,EB,07,2EB07,Akuntansi,2023,NA,NA,NA
20123050,2,KB,04,2KB04,Sistem Komputer,2023,NA,NA,NA
30423061,2,ID,02,2ID02,Teknik Industri,2023,NA,NA,NA
10323013,2,TA,02,2TA02,Teknik Sipil,2023,NA,NA,NA
20123051,2,KB,01,2KB01,Sistem Komputer,2023,NA,NA,NA
20223082,2,EB,06,2EB06,Akuntansi,2023,NA,NA,NA
50423062,2,IA,04,2IA04,Informatika,2023,NA,NA,NA
10123052,2,KA,16,2KA16,Sistem Informasi,2023,NA,NA,NA
10523029,2,PA,07,2PA07,Psikologi,2023,NA,NA,NA
10823027,2,MA,07,2MA07,Ilmu Komunikasi,2023,NA,NA,NA
10123053,2,KA,33,2KA33,Sistem Informasi,2023,NA,NA,NA
10823028,2,MA,03,2MA03,Ilmu Komunikasi,2023,NA,NA,NA
20123054,2,KB,03,2KB03,Sistem Komputer,2023,NA,NA,NA
10823029,2,MA,05,2MA05,Ilmu Komunikasi,2023,NA,NA,NA
30423063,2,ID,07,2ID07,Teknik Industri,2023,NA,NA,NA
10823030,2,MA,02,2MA02,Ilmu Komunikasi,2023,NA,NA,NA
50423064,2,IA,05,2IA05,Informatika,2023,NA,NA,NA
10223083,2,EA,19,2EA19,Manajemen,2023,NA,NA,NA
10223084,2,EA,13,2EA13,Manajemen,2023,NA,NA,NA
20223085,2,EB,12,2EB12,Akuntansi,2023,NA,NA,NA
10523030,2,PA,08,2PA08,Psikologi,2023,NA,NA,NA
50123055,2,KC,01,2KC01,Sistem Informasi,2023,NA,NA,NA
10823031,2,MA,25,2MA25,Ilmu Komunikasi,2023,NA,NA,NA
10523031,2,PA,08,2PA08,Psikologi,2023,NA,NA,NA
10523032,2,PA,08,2PA08,Psikologi,2023,NA,NA,NA
10223086,2,EA,22,2EA22,Manajemen,2023,NA,NA,NA
10123056,2,KA,26,2KA26,Sistem Informasi,2023,NA,NA,NA
10223087,2,EA,13,2EA13,Manajemen,2023,NA,NA,NA
20323014,2,TB,NA,2TB,Teknik Arsitektur,2023,NA,NA,NA
50423065,2,IA,05,2IA05,Informatika,2023,NA,NA,NA
10523033,2,PA,15,2PA15,Psikologi,2023,NA,NA,NA
10523034,2,PA,10,2PA10,Psikologi,2023,NA,NA,NA
10523035,2,PA,24,2PA24,Psikologi,2023,NA,NA,NA
10923001,2,HA,01,2HA01,Kedokteran,2023,NA,NA,NA
20223088,2,EB,16,2EB16,Akuntansi,2023,NA,NA,NA
20123057,2,KB,02,2KB02,Sistem Komputer,2023,NA,NA,NA
10223089,2,EA,35,2EA35,Manajemen,2023,NA,NA,NA
10823032,2,MA,25,2MA25,Ilmu Komunikasi,2023,NA,NA,NA
20423066,2,IC,03,2IC03,Teknik Mesin,2023,NA,NA,NA
30423067,2,ID,08,2ID08,Teknik Industri,2023,NA,NA,NA
10123058,2,KA,02,2KA02,Sistem Informasi,2023,NA,NA,NA
10423001,2,IB,02,2IB02,Teknik Elektro,2023,NA,NA,NA
10123059,2,KA,05,2KA05,Sistem Informasi,2023,NA,NA,NA
10123060,2,KA,11,2KA11,Sistem Informasi,2023,NA,NA,NA
30423068,2,ID,09,2ID09,Teknik Industri,2023,NA,NA,NA
10523036,2,PA,27,2PA27,Psikologi,2023,NA,NA,NA
10623012,2,SA,04,2SA04,Sastra Inggris,2023,NA,NA,NA
10223090,2,EA,05,2EA05,Manajemen,2023,NA,NA,NA
10823033,2,MA,16,2MA16,Ilmu Komunikasi,2023,NA,NA,NA
10223091,2,EA,29,2EA29,Manajemen,2023,NA,NA,NA
10423069,2,IB,01,2IB01,Teknik Elektro,2023,NA,NA,NA
10223092,2,EA,30,2EA30,Manajemen,2023,NA,NA,NA
20223093,2,EB,07,2EB07,Akuntansi,2023,NA,NA,NA
10823034,2,MA,05,2MA05,Ilmu Komunikasi,2023,NA,NA,NA
10523037,2,PA,22,2PA22,Psikologi,2023,NA,NA,NA
10523038,2,PA,22,2PA22,Psikologi,2023,NA,NA,NA
10123061,2,KA,19,2KA19,Sistem Informasi,2023,NA,NA,NA
50423070,2,IA,18,2IA18,Informatika,2023,NA,NA,NA
20423071,2,IC,03,2IC03,Teknik Mesin,2023,NA,NA,NA
10123062,2,KA,17,2KA17,Sistem Informasi,2023,NA,NA,NA
10223094,2,EA,16,2EA16,Manajemen,2023,NA,NA,NA
10123001,2,KA,04,2KA04,Sistem Informasi,2023,NA,NA,NA
10123063,2,KA,33,2KA33,Sistem Informasi,2023,NA,NA,NA
50423072,2,IA,14,2IA14,Informatika,2023,NA,NA,NA
10823035,2,MA,21,2MA21,Ilmu Komunikasi,2023,NA,NA,NA
10223095,2,EA,32,2EA32,Manajemen,2023,NA,NA,NA
10123064,2,KA,08,2KA08,Sistem Informasi,2023,NA,NA,NA
50423073,2,IA,12,2IA12,Informatika,2023,NA,NA,NA
50423074,2,IA,03,2IA03,Informatika,2023,NA,NA,NA
50423075,2,IA,24,2IA24,Informatika,2023,NA,NA,NA
10523039,2,PA,32,2PA32,Psikologi,2023,NA,NA,NA
50423076,2,IA,07,2IA07,Informatika,2023,NA,NA,NA
10123065,2,KA,07,2KA07,Sistem Informasi,2023,NA,NA,NA
10523040,2,PA,33,2PA33,Psikologi,2023,NA,NA,NA
10923002,2,HA,01,2HA01,Kedokteran,2023,NA,NA,NA
10223096,2,EA,05,2EA05,Manajemen,2023,NA,NA,NA
20223097,2,EB,07,2EB07,Akuntansi,2023,NA,NA,NA
40123066,2,DC,02,2DC02,Teknik Komputer,2023,NA,NA,NA
10823036,2,MA,27,2MA27,Ilmu Komunikasi,2023,NA,NA,NA
30423077,2,ID,05,2ID05,Teknik Industri,2023,NA,NA,NA
50423078,2,IA,22,2IA22,Informatika,2023,NA,NA,NA
10823037,2,MA,07,2MA07,Ilmu Komunikasi,2023,NA,NA,NA
50423079,2,IA,24,2IA24,Informatika,2023,NA,NA,NA
10223098,2,EA,24,2EA24,Manajemen,2023,NA,NA,NA
30123067,2,DB,01,2DB01,Manajemen Informatika,2023,NA,NA,NA
60223099,2,EC,01,2EC01,Ekonomi Syariah,2023,NA,NA,NA
10323015,2,TA,04,2TA04,Teknik Sipil,2023,NA,NA,NA
50423080,2,IA,06,2IA06,Informatika,2023,NA,NA,NA
10523041,2,PA,36,2PA36,Psikologi,2023,NA,NA,NA
10623013,2,SA,06,2SA06,Sastra Inggris,2023,NA,NA,NA
10123068,2,KA,15,2KA15,Sistem Informasi,2023,NA,NA,NA
10223100,2,EA,19,2EA19,Manajemen,2023,NA,NA,NA
10123069,2,KA,14,2KA14,Sistem Informasi,2023,NA,NA,NA
10223101,2,EA,28,2EA28,Manajemen,2023,NA,NA,NA
10223102,2,EA,24,2EA24,Manajemen,2023,NA,NA,NA
10523042,2,PA,16,2PA16,Psikologi,2023,NA,NA,NA
10223103,2,EA,26,2EA26,Manajemen,2023,NA,NA,NA
10823039,2,MA,20,2MA20,Ilmu Komunikasi,2023,NA,NA,NA
10823040,2,MA,28,2MA28,Ilmu Komunikasi,2023,NA,NA,NA
10123070,2,KA,12,2KA12,Sistem Informasi,2023,NA,NA,NA
10123071,2,KA,18,2KA18,Sistem Informasi,2023,NA,NA,NA
20423081,2,IC,03,2IC03,Teknik Mesin,2023,NA,NA,NA
10823041,2,MA,25,2MA25,Ilmu Komunikasi,2023,NA,NA,NA
10123072,2,KA,13,2KA13,Sistem Informasi,2023,NA,NA,NA
10823042,2,MA,15,2MA15,Ilmu Komunikasi,2023,NA,NA,NA
10123073,2,KA,23,2KA23,Sistem Informasi,2023,NA,NA,NA
50423082,2,IA,22,2IA22,Informatika,2023,NA,NA,NA
10323016,2,TA,03,2TA03,Teknik Sipil,2023,NA,NA,NA
20323017,2,TB,01,2TB01,Teknik Arsitektur,2023,NA,NA,NA
10323018,2,TA,01,2TA01,Teknik Sipil,2023,NA,NA,NA
10123074,2,KA,11,2KA11,Sistem Informasi,2023,NA,NA,NA
10623014,2,SA,04,2SA04,Sastra Inggris,2023,NA,NA,NA
50423083,2,IA,17,2IA17,Informatika,2023,NA,NA,NA
50423084,2,IA,02,2IA02,Informatika,2023,NA,NA,NA
10123075,2,KA,26,2KA26,Sistem Informasi,2023,NA,NA,NA
10123076,2,KA,15,2KA15,Sistem Informasi,2023,NA,NA,NA
11823071,2,MA,11,2MA11,Ilmu Komunikasi,2023,NA,NA,NA
50423085,2,IA,15,2IA15,Informatika,2023,NA,NA,NA
20523043,2,PB,01,2PB01,Psikologi,2023,NA,NA,NA
50423086,2,IA,02,2IA02,Informatika,2023,NA,NA,NA
10523044,2,PA,30,2PA30,Psikologi,2023,NA,NA,NA
10123077,2,KA,29,2KA29,Sistem Informasi,2023,NA,NA,NA
10823043,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
10823044,2,MA,09,2MA09,Ilmu Komunikasi,2023,NA,NA,NA
10823045,2,MA,10,2MA10,Ilmu Komunikasi,2023,NA,NA,NA
20223104,2,EB,NA,2EB,Akuntansi,2023,NA,NA,NA
30423087,2,ID,05,2ID05,Teknik Industri,2023,NA,NA,NA
50123078,2,KC,01,2KC01,Sistem Informasi,2023,NA,NA,NA
10123079,2,KA,07,2KA07,Sistem Informasi,2023,NA,NA,NA
10123080,2,KA,04,2KA04,Sistem Informasi,2023,NA,NA,NA
10923003,2,HA,01,2HA01,Kedokteran,2023,NA,NA,NA
20123081,2,KB,01,2KB01,Sistem Komputer,2023,NA,NA,NA
10823046,2,MA,19,2MA19,Ilmu Komunikasi,2023,NA,NA,NA
50423088,2,IA,02,2IA02,Informatika,2023,NA,NA,NA
20223105,2,EB,10,2EB10,Akuntansi,2023,NA,NA,NA
10123082,2,KA,16,2KA16,Sistem Informasi,2023,NA,NA,NA
10823047,2,MA,25,2MA25,Ilmu Komunikasi,2023,NA,NA,NA
30423089,2,ID,08,2ID08,Teknik Industri,2023,NA,NA,NA
10223106,2,EA,31,2EA31,Manajemen,2023,NA,NA,NA
50423090,2,IA,06,2IA06,Informatika,2023,NA,NA,NA
10223107,2,EA,33,2EA33,Manajemen,2023,NA,NA,NA
50423091,2,IA,24,2IA24,Informatika,2023,NA,NA,NA
10123083,2,KA,03,2KA03,Sistem Informasi,2023,NA,NA,NA
10223108,2,EA,05,2EA05,Manajemen,2023,NA,NA,NA
10123084,2,KA,12,2KA12,Sistem Informasi,2023,NA,NA,NA
20223109,2,EB,07,2EB07,Akuntansi,2023,NA,NA,NA
20223110,2,EB,12,2EB12,Akuntansi,2023,NA,NA,NA
20123085,2,KB,02,2KB02,Sistem Komputer,2023,NA,NA,NA
10423092,2,IB,02,2IB02,Teknik Elektro,2023,NA,NA,NA
10523045,2,PA,22,2PA22,Psikologi,2023,NA,NA,NA
10523046,2,PA,10,2PA10,Psikologi,2023,NA,NA,NA
30623015,2,SC,01,2SC01,Sastra Tiongkok,2023,NA,NA,NA
10223111,2,EA,08,2EA08,Manajemen,2023,NA,NA,NA
10223112,2,EA,20,2EA20,Manajemen,2023,NA,NA,NA
10623016,2,SA,02,2SA02,Sastra Inggris,2023,NA,NA,NA
10823048,2,MA,13,2MA13,Ilmu Komunikasi,2023,NA,NA,NA
10223113,2,EA,24,2EA24,Manajemen,2023,NA,NA,NA
10223114,2,EA,26,2EA26,Manajemen,2023,NA,NA,NA
10123002,2,KA,18,2KA18,Sistem Informasi,2023,NA,NA,NA
10523047,2,PA,25,2PA25,Psikologi,2023,NA,NA,NA
10823049,2,MA,18,2MA18,Ilmu Komunikasi,2023,NA,NA,NA
10223115,2,EA,34,2EA34,Manajemen,2023,NA,NA,NA
10523048,2,PA,09,2PA09,Psikologi,2023,NA,NA,NA
20223116,2,EB,12,2EB12,Akuntansi,2023,NA,NA,NA
10823050,2,MA,12,2MA12,Ilmu Komunikasi,2023,NA,NA,NA
10823051,2,MA,08,2MA08,Ilmu Komunikasi,2023,NA,NA,NA
10523049,2,PA,20,2PA20,Psikologi,2023,NA,NA,NA
10823052,2,MA,06,2MA06,Ilmu Komunikasi,2023,NA,NA,NA
10223117,2,EA,31,2EA31,Manajemen,2023,NA,NA,NA
20723018,2,HB,02,2HB02,Farmasi,2023,NA,NA,NA
10823053,2,MA,06,2MA06,Ilmu Komunikasi,2023,NA,NA,NA
10523050,2,PA,14,2PA14,Psikologi,2023,NA,NA,NA
10523051,2,PA,34,2PA34,Psikologi,2023,NA,NA,NA
10323019,2,TA,04,2TA04,Teknik Sipil,2023,NA,NA,NA
10123086,2,KA,06,2KA06,Sistem Informasi,2023,NA,NA,NA
10923004,2,HA,01,2HA01,Kedokteran,2023,NA,NA,NA
10223118,2,EA,12,2EA12,Manajemen,2023,NA,NA,NA
50423093,2,IA,26,2IA26,Informatika,2023,NA,NA,NA
30423094,2,ID,08,2ID08,Teknik Industri,2023,NA,NA,NA
10823054,2,MA,14,2MA14,Ilmu Komunikasi,2023,NA,NA,NA
10223119,2,EA,20,2EA20,Manajemen,2023,NA,NA,NA
